star_name,hip_name,hd_name,gj_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_rvflag,st_ppnum,rastr,ra,decstr,dec,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr,st_teff,st_tefferr,st_mass,st_masserr,st_logg,st_loggerr,st_age,st_ageerr,st_metfe,st_metfeerr,st_metratio
HIP 108461,HIP 108461,HD 209943,,1,0,0,0,0,21h58m20.37s,329.584896,+82d52m16.2s,82.871158,29.82,4.07,-3.2,7.4,0.02,0.7,0,F5,0.94,0.29,5496,,0.98,,,,,,,,
HIP 108467,HIP 108467,,GJ 842.2,1,0,0,0,0,21h58m23.97s,329.59989,+75d35m20.4s,75.589003,20.77,0.42,-0.41,10.48,0.17,0.74,0.02,M0,0.07,0.28,3853,,0.51,,,,,,,,
HIP 108490,HIP 108490,HD 208906,,1,0,0,0,0,21h58m41.08s,329.67115,+29d48m48.8s,29.813569,28.75,0.29,-0.28,6.95,0.02,0.5,0.01,F8V-VI,1.21,0.05,6010,,1.05,,,,,,,,
HIP 108523,HIP 108523,,GJ 4245,1,0,0,0,0,21h59m08.30s,329.784563,-46d45m46.0s,-46.762767,28.88,3.21,-2.63,11.45,0.33,1.65,0.08,M4,0.06,0.66,3831,,0.49,,,,,,,,
HIP 108567,HIP 108567,,GJ 4244,1,0,0,0,0,21h59m32.11s,329.883773,-60d55m57.9s,-60.932744,23.45,0.98,-0.9,9.56,0.01,1.28,0.01,K7,0.14,0.11,4269,,0.61,,,,,,,,
HIP 108569,HIP 108569,,GJ 842,1,0,0,0,0,21h59m33.68s,329.890321,-59d45m09.0s,-59.752509,11.99,0.24,-0.24,9.72,0.01,1.47,0.01,M2,0.06,0.11,3724,,0.48,,,,,,,,
HIP 108706,HIP 108706,,GJ 4247,1,0,0,0,0,22h01m12.88s,330.303657,+28d18m24.5s,28.306817,8.9,0.28,-0.26,11.99,0.01,1.72,0.02,,0.01,0.12,3208,,0.31,,,,,,,,
HIP 108752,HIP 108752,,GJ 844,1,0,0,0,0,22h01m48.81s,330.453363,+16d28m01.5s,16.467078,16.18,0.67,-0.62,10.65,0.01,1.52,0.01,M2,0.06,0.13,3485,,0.49,,,,,,,,
HIP 108782,HIP 108782,HD 209290,GJ 846,1,0,0,0,0,22h02m10.54s,330.543913,+01d24m03.3s,1.400909,10.24,0.21,-0.2,9.15,0.01,1.47,0.01,M2/3V,0.06,0.1,3798,,0.49,,4.79,,,,,,
HIP 108870,HIP 108870,HD 209100,GJ 845,1,1,1,0,0,22h03m17.44s,330.822665,-56d46m47.3s,-56.779806,3.62,,,4.69,0.01,1.06,0.02,K4V,0.23,0.1,4683,,0.68,,,,,,,,
